theta_pair,r,mean,std_dev,max,min
"(0.50, 0.10)",0.25,47.74,20.585677084082057,127,2
"(0.50, 0.10)",0.5,68.35,29.826899594056695,188,15
"(0.50, 0.10)",0.75,91.47,45.596264023813326,200,35
"(0.75, 0.10)",0.25,36.95,15.95661732209043,78,5
"(0.75, 0.10)",0.5,48.73,18.173604457836618,101,10
"(0.75, 0.10)",0.75,63.2,30.05852876498036,192,24
"(1.00, 0.10)",0.25,35.96,12.263042943014684,69,9
"(1.00, 0.10)",0.5,42.55,14.655212469468076,92,9
"(1.00, 0.10)",0.75,58.45,31.01820091299281,191,9
"(0.10, 0.50)",0.25,9.6,8.393118874676114,44,1
"(0.10, 0.50)",0.5,13.64,8.710286499828287,44,1
"(0.10, 0.50)",0.75,19.02,14.111375166542384,110,1
"(0.10, 0.75)",0.25,9.38,7.656488632644744,41,1
"(0.10, 0.75)",0.5,12.59,7.621202482071138,41,1
"(0.10, 0.75)",0.75,18.57,8.443819089018952,48,1
"(0.10, 1.00)",0.25,9.69,6.15899604832089,23,1
"(0.10, 1.00)",0.5,13.2,6.474503217945908,31,1
"(0.10, 1.00)",0.75,18.03,6.044372957093601,37,1
